Speed,Target,Voltage,Integral,Derivative
-21,3600,12000,3621,362.1
42,3600,12000,7179,319.59
225.33,3600,12000,10553.67,269.298
191.5305,3600,12000,13962.1395,245.74815
174.350925,3600,12000,17387.78858,222.891293
170.458286,3600,12000,17387.78858,200.991427
173.869543,3600,12000,17387.78858,180.551159
182.649112,3600,12000,17387.78858,161.618086
197.251745,3600,12000,17387.78858,143.996014
216.803983,3600,12000,17387.78858,127.641189
233.633386,3600,12000,17387.78858,113.19413
257.388378,3600,12000,17387.78858,99.499218
276.740121,3600,12000,17387.78858,87.614121
301.379103,3600,12000,17387.78858,76.388811
324.842238,3600,12000,17387.78858,66.403617
358.645902,3600,12000,17387.78858,56.382888
391.789017,3600,12000,17387.78858,47.430288
420.170664,3600,12000,17387.78858,39.849095
451.225065,3600,12000,17387.78858,32.758745
482.031305,3600,12000,17387.78858,26.402247
519.766609,3600,12000,17387.78858,19.988491
549.951618,3600,12000,17387.78858,14.971141
589.468875,3600,12000,17387.78858,9.522302
625.998544,3600,12000,17387.78858,4.917105
657.048762,3600,12000,17387.78858,1.320372
687.431448,3600,12000,17387.78858,-1.849934
702.756731,3600,12000,17387.78858,-3.197468
740.353221,3600,12000,17387.78858,-6.637371
801.500238,3600,12000,17387.78858,-12.088335
809.795202,3600,12000,17387.78858,-11.708998
836.585922,3600,12000,17387.78858,-13.21717
883.298034,3600,12000,17387.78858,-16.566664
898.433329,3600,12000,17387.78858,-16.423528
927.888329,3600,12000,17387.78858,-17.726675
975.60508,3600,12000,17387.78858,-20.725682
1009.024318,3600,12000,17387.78858,-21.995038
1037.22067,3600,12000,17387.78858,-22.615169
1073.36757,3600,12000,17387.78858,-23.968342
1110.812434,3600,12000,17387.78858,-25.315995
1141.800569,3600,12000,17387.78858,-25.883209
1169.610484,3600,12000,17387.78858,-26.075879
1201.228911,3600,12000,17387.78858,-26.630134
1236.924575,3600,12000,17387.78858,-27.536687
1266.005888,3600,12000,17387.78858,-27.69115
1288.835005,3600,12000,17387.78858,-27.204946
1317.899754,3600,12000,17387.78858,-27.390927
1348.904791,3600,12000,17387.78858,-27.752338
1376.519072,3600,12000,17387.78858,-27.738532
1398.731212,3600,12000,17387.78858,-27.185893
1438.19153,3600,12000,17387.78858,-28.413335
1460.8128,3600,12000,17387.78858,-27.834129
1485.92088,3600,12000,17387.78858,-27.561524
1520.912748,3600,12000,17387.78858,-28.304558
1561.365836,3600,12000,17387.78858,-29.519411
1561.940961,3600,12000,17387.78858,-26.624983
1573.139817,3600,12000,17387.78858,-25.08237
1582.028844,3600,12000,17387.78858,-23.463036
1631.374517,3600,12000,17387.78858,-26.051299
1676.67834,3600,12000,17387.78858,-27.976552
1709.306589,3600,12000,17387.78858,-28.441721
1718.560601,3600,12000,17387.78858,-26.522951
1741.12651,3600,12000,17387.78858,-26.127246
1780.887534,3600,12000,17387.78858,-27.490624
1817.204404,3600,12000,17387.78858,-28.373249
1841.353743,3600,12000,17387.78858,-27.950858
1854.740682,3600,12000,17387.78858,-26.494466
1900.139579,3600,12000,17387.78858,-28.384909
1919.408643,3600,12000,17387.78858,-27.473324
1943.347346,3600,12000,17387.78858,-27.119862
1975.875244,3600,12000,17387.78858,-27.660666
2007.933958,3600,12000,17387.78858,-28.100471
2025.733864,3600,12000,17387.78858,-27.070414
2037.293784,3600,12000,17387.78858,-25.519365
2068.329717,3600,12000,17387.78858,-26.071022
2104.790259,3600,12000,17387.78858,-27.109974
2117.09172,3600,12000,17387.78858,-25.629122
2143.087962,3600,12000,17387.78858,-25.665834
2174.634768,3600,12000,17387.78858,-26.253932
2205.019553,3600,12000,17387.78858,-26.667017
2220.55662,3600,12000,17387.78858,-25.554022
2227.253127,3600,12000,17387.78858,-23.66827
2250.585158,3600,12000,17387.78858,-23.634646
2286.587384,3600,12000,17387.78858,-24.871404
2319.919277,3600,12000,17387.78858,-25.717453
